region,periodo,tasa_victimizacion,tasa_homicidios,percepcion_inseguridad,denuncias,poblacion,fuente
Ucayali,2018-S1,16.3,2.5,44.3,116131,9721294,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2018-S2,25.7,3.4,62.4,67075,2286500,MUESTRA SINTÉTICA (no es dato real)
Áncash,2018-S2,28.9,5.1,76.2,167327,6027911,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2018-S2,27.6,3.4,72.7,165840,6355388,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2018-S2,32.2,5.7,83.9,265123,7687494,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2018-S2,19.6,3.9,56.0,176187,8059958,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2018-S2,29.4,4.5,71.3,7518,496830,MUESTRA SINTÉTICA (no es dato real)
Callao,2018-S2,29.9,5.9,74.5,90711,5757147,MUESTRA SINTÉTICA (no es dato real)
Cusco,2018-S2,28.0,5.3,76.7,8170,406538,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2018-S2,30.0,5.6,84.2,184979,6648655,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2018-S2,22.1,4.2,53.5,208781,8056311,MUESTRA SINTÉTICA (no es dato real)
Ica,2018-S2,22.5,3.1,57.8,43169,3316431,MUESTRA SINTÉTICA (no es dato real)
Junín,2018-S2,30.2,5.7,77.3,276689,8655530,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2018-S2,31.2,5.0,88.7,60060,2133369,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2018-S2,23.0,3.3,56.4,144906,6679676,MUESTRA SINTÉTICA (no es dato real)
Lima,2018-S2,30.9,4.4,79.1,248539,7276063,MUESTRA SINTÉTICA (no es dato real)
Loreto,2018-S2,25.2,3.7,60.8,107788,6577912,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2018-S2,29.8,5.6,77.2,65435,2677190,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2018-S2,28.1,5.2,72.9,40954,1510467,MUESTRA SINTÉTICA (no es dato real)
Pasco,2018-S2,27.6,4.6,71.3,98392,5487312,MUESTRA SINTÉTICA (no es dato real)
Piura,2018-S2,26.8,4.1,65.3,183536,7576774,MUESTRA SINTÉTICA (no es dato real)
Puno,2018-S2,18.6,3.6,51.8,16385,1484574,MUESTRA SINTÉTICA (no es dato real)
San Martín,2018-S2,18.7,3.5,53.3,37872,2838594,MUESTRA SINTÉTICA (no es dato real)
Tacna,2018-S2,26.6,4.0,66.2,132587,4461171,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2018-S2,16.8,2.2,41.0,128188,7327782,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2018-S2,17.3,3.0,44.7,12368,829277,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2019-S1,26.3,3.7,66.7,146961,5453976,MUESTRA SINTÉTICA (no es dato real)
Áncash,2019-S1,31.1,5.2,77.5,237774,8035462,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2019-S1,26.0,5.4,74.7,230004,8461645,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2019-S1,33.8,5.8,84.2,266098,7643045,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2019-S1,22.6,4.1,58.4,50917,4313755,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2019-S1,32.6,5.9,84.7,182752,5570681,MUESTRA SINTÉTICA (no es dato real)
Callao,2019-S1,29.9,5.6,85.4,71203,3996836,MUESTRA SINTÉTICA (no es dato real)
Cusco,2019-S1,30.4,3.9,75.2,235223,7184221,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2019-S1,27.9,5.0,80.6,23365,1344213,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2019-S1,23.0,3.9,63.7,54125,2067461,MUESTRA SINTÉTICA (no es dato real)
Ica,2019-S1,23.1,3.7,56.3,58526,4839345,MUESTRA SINTÉTICA (no es dato real)
Junín,2019-S1,28.5,4.0,78.5,71573,4659171,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2019-S1,33.7,5.8,95.0,68343,2616440,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2019-S1,22.6,3.0,60.0,19832,1406709,MUESTRA SINTÉTICA (no es dato real)
Lima,2019-S1,28.9,4.2,72.1,134272,6764672,MUESTRA SINTÉTICA (no es dato real)
Loreto,2019-S1,25.3,4.4,67.3,140972,6359629,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2019-S1,32.0,5.7,90.9,37359,1957838,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2019-S1,26.5,4.7,76.0,76797,2460538,MUESTRA SINTÉTICA (no es dato real)
Pasco,2019-S1,27.1,4.4,71.7,131188,9166567,MUESTRA SINTÉTICA (no es dato real)
Piura,2019-S1,33.1,7.4,80.5,68809,2518195,MUESTRA SINTÉTICA (no es dato real)
Puno,2019-S1,19.5,3.2,55.0,149001,7658483,MUESTRA SINTÉTICA (no es dato real)
San Martín,2019-S1,19.8,3.8,54.7,38486,3156116,MUESTRA SINTÉTICA (no es dato real)
Tacna,2019-S1,25.8,4.1,73.9,114141,6047099,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2019-S1,17.5,2.8,46.5,22584,1097229,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2019-S1,16.0,2.7,40.8,128277,8057606,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2019-S2,26.6,3.6,69.6,111723,4267866,MUESTRA SINTÉTICA (no es dato real)
Áncash,2019-S2,27.8,5.6,76.0,55401,2248566,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2019-S2,28.3,3.9,78.3,11649,351238,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2019-S2,32.6,5.6,90.1,175962,5328328,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2019-S2,19.7,3.8,52.9,97216,9334716,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2019-S2,29.6,4.9,79.3,25142,926778,MUESTRA SINTÉTICA (no es dato real)
Callao,2019-S2,28.5,3.8,81.0,49936,2138852,MUESTRA SINTÉTICA (no es dato real)
Cusco,2019-S2,30.3,4.6,81.2,203237,8109048,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2019-S2,31.3,4.6,85.7,159204,6489917,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2019-S2,24.5,4.0,67.8,79449,3928215,MUESTRA SINTÉTICA (no es dato real)
Ica,2019-S2,21.0,3.5,53.9,133619,8302825,MUESTRA SINTÉTICA (no es dato real)
Junín,2019-S2,27.9,5.1,73.1,104889,7186331,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2019-S2,31.5,6.1,84.8,172522,5666693,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2019-S2,22.1,3.9,57.6,31093,1998140,MUESTRA SINTÉTICA (no es dato real)
Lima,2019-S2,29.3,5.2,85.0,87169,3655009,MUESTRA SINTÉTICA (no es dato real)
Loreto,2019-S2,22.8,4.9,65.7,155566,8912914,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2019-S2,32.6,5.5,86.2,124223,6918303,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2019-S2,27.6,3.7,71.9,247314,8314879,MUESTRA SINTÉTICA (no es dato real)
Pasco,2019-S2,24.4,3.9,64.3,83194,3858892,MUESTRA SINTÉTICA (no es dato real)
Piura,2019-S2,30.5,5.9,83.9,127474,7751037,MUESTRA SINTÉTICA (no es dato real)
Puno,2019-S2,18.7,3.8,49.1,14865,812048,MUESTRA SINTÉTICA (no es dato real)
San Martín,2019-S2,17.0,2.7,44.0,74603,6444202,MUESTRA SINTÉTICA (no es dato real)
Tacna,2019-S2,24.6,4.1,66.9,63365,2191044,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2019-S2,16.8,2.5,42.4,11509,861267,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2019-S2,16.7,2.4,41.8,18691,1541932,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2020-S1,26.2,3.9,74.9,162265,6632560,MUESTRA SINTÉTICA (no es dato real)
Áncash,2020-S1,31.2,5.2,80.2,68399,2718682,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2020-S1,28.0,4.5,73.3,107701,6470267,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2020-S1,33.6,5.2,85.4,167549,9624750,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2020-S1,20.6,3.5,54.2,5864,347713,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2020-S1,31.1,5.1,87.0,58094,2003858,MUESTRA SINTÉTICA (no es dato real)
Callao,2020-S1,30.9,5.3,86.8,62962,1776966,MUESTRA SINTÉTICA (no es dato real)
Cusco,2020-S1,30.1,5.5,72.9,185347,6700423,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2020-S1,30.0,5.9,86.3,154601,8884732,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2020-S1,25.0,4.1,70.4,273264,9167928,MUESTRA SINTÉTICA (no es dato real)
Ica,2020-S1,19.8,3.0,54.3,133754,5787454,MUESTRA SINTÉTICA (no es dato real)
Junín,2020-S1,33.3,6.9,88.4,12826,382896,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2020-S1,30.4,5.4,86.0,170262,7604155,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2020-S1,22.6,3.7,56.3,58376,3178396,MUESTRA SINTÉTICA (no es dato real)
Lima,2020-S1,31.2,5.0,88.9,235244,6868529,MUESTRA SINTÉTICA (no es dato real)
Loreto,2020-S1,26.0,4.3,72.6,40609,2605663,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2020-S1,31.5,4.6,78.9,102789,2822301,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2020-S1,29.7,4.5,73.2,141581,8187351,MUESTRA SINTÉTICA (no es dato real)
Pasco,2020-S1,26.2,4.7,70.1,124489,8496891,MUESTRA SINTÉTICA (no es dato real)
Piura,2020-S1,32.8,5.7,88.8,100820,3265409,MUESTRA SINTÉTICA (no es dato real)
Puno,2020-S1,20.7,4.5,52.6,148815,7625759,MUESTRA SINTÉTICA (no es dato real)
San Martín,2020-S1,20.1,3.3,55.6,109351,7044575,MUESTRA SINTÉTICA (no es dato real)
Tacna,2020-S1,26.0,4.8,71.5,57927,2206438,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2020-S1,17.3,2.6,48.8,55584,4591106,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2020-S1,17.3,2.7,43.3,30609,2856841,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2020-S2,25.3,3.7,63.5,215776,7439951,MUESTRA SINTÉTICA (no es dato real)
Áncash,2020-S2,31.4,4.5,83.2,17246,936063,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2020-S2,29.3,5.6,82.1,22880,852491,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2020-S2,37.8,8.2,90.9,152327,5312857,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2020-S2,21.1,3.0,53.4,142658,8163899,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2020-S2,28.1,3.7,71.8,13232,608876,MUESTRA SINTÉTICA (no es dato real)
Callao,2020-S2,30.6,5.6,82.3,264903,9545041,MUESTRA SINTÉTICA (no es dato real)
Cusco,2020-S2,30.0,4.2,80.6,207431,7571996,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2020-S2,28.8,4.6,72.0,143671,5910717,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2020-S2,23.5,5.4,66.0,31570,1523859,MUESTRA SINTÉTICA (no es dato real)
Ica,2020-S2,23.5,3.8,59.5,79351,3848348,MUESTRA SINTÉTICA (no es dato real)
Junín,2020-S2,31.7,4.9,77.9,299064,8215286,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2020-S2,32.7,3.8,92.5,158548,9120731,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2020-S2,24.4,3.9,64.3,123631,9231586,MUESTRA SINTÉTICA (no es dato real)
Lima,2020-S2,30.2,4.6,80.4,182875,7505912,MUESTRA SINTÉTICA (no es dato real)
Loreto,2020-S2,25.7,5.0,74.2,112812,7557077,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2020-S2,31.1,4.2,86.8,11210,324670,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2020-S2,29.8,3.8,81.3,94864,5177121,MUESTRA SINTÉTICA (no es dato real)
Pasco,2020-S2,26.4,4.0,64.0,36204,2322138,MUESTRA SINTÉTICA (no es dato real)
Piura,2020-S2,35.5,7.7,95.0,54827,2952612,MUESTRA SINTÉTICA (no es dato real)
Puno,2020-S2,21.3,3.5,53.8,91080,4164574,MUESTRA SINTÉTICA (no es dato real)
San Martín,2020-S2,18.5,3.0,53.0,60983,3243190,MUESTRA SINTÉTICA (no es dato real)
Tacna,2020-S2,26.2,4.2,68.7,184883,6104229,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2020-S2,16.9,3.2,44.5,29680,1490751,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2020-S2,16.3,2.8,46.6,11163,1210322,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2021-S1,25.7,3.9,62.2,219694,9198430,MUESTRA SINTÉTICA (no es dato real)
Áncash,2021-S1,28.6,5.3,75.3,166639,5727048,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2021-S1,27.8,3.2,68.8,178540,8165983,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2021-S1,34.8,6.1,95.0,79753,2807210,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2021-S1,20.5,2.9,53.0,151301,9414052,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2021-S1,27.7,5.1,71.7,73453,4441478,MUESTRA SINTÉTICA (no es dato real)
Callao,2021-S1,31.4,5.3,84.2,226197,6784528,MUESTRA SINTÉTICA (no es dato real)
Cusco,2021-S1,31.3,4.1,79.5,102794,3178464,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2021-S1,27.4,5.7,74.6,31979,2028390,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2021-S1,23.7,3.9,60.4,79912,6433203,MUESTRA SINTÉTICA (no es dato real)
Ica,2021-S1,21.9,3.3,55.4,73439,3612506,MUESTRA SINTÉTICA (no es dato real)
Junín,2021-S1,29.3,4.5,80.6,33975,984286,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2021-S1,31.0,5.1,77.5,215444,9916689,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2021-S1,21.2,2.8,60.9,11270,615028,MUESTRA SINTÉTICA (no es dato real)
Lima,2021-S1,28.1,4.4,72.2,48258,3413504,MUESTRA SINTÉTICA (no es dato real)
Loreto,2021-S1,24.3,4.4,59.3,38959,2184315,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2021-S1,35.1,6.0,95.0,100729,4465044,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2021-S1,28.5,4.6,71.9,309084,9615346,MUESTRA SINTÉTICA (no es dato real)
Pasco,2021-S1,26.5,4.6,67.7,8192,473738,MUESTRA SINTÉTICA (no es dato real)
Piura,2021-S1,32.1,5.4,87.3,23176,1184339,MUESTRA SINTÉTICA (no es dato real)
Puno,2021-S1,20.7,2.9,53.2,22958,1048086,MUESTRA SINTÉTICA (no es dato real)
San Martín,2021-S1,19.2,3.3,52.1,15545,1183730,MUESTRA SINTÉTICA (no es dato real)
Tacna,2021-S1,27.0,5.0,75.9,151155,6479118,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2021-S1,17.2,2.8,41.9,24833,1464994,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2021-S1,16.1,2.6,42.4,16396,1935146,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2021-S2,25.3,4.9,63.8,171915,8687548,MUESTRA SINTÉTICA (no es dato real)
Áncash,2021-S2,32.4,5.5,77.8,93951,4538601,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2021-S2,30.7,5.1,87.2,199438,8987152,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2021-S2,34.7,6.4,92.1,21185,1145852,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2021-S2,19.1,3.6,46.4,84890,5210303,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2021-S2,32.4,5.0,93.2,27993,1424683,MUESTRA SINTÉTICA (no es dato real)
Callao,2021-S2,30.3,5.9,82.1,201047,7352335,MUESTRA SINTÉTICA (no es dato real)
Cusco,2021-S2,29.1,5.8,70.1,130478,7045145,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2021-S2,30.9,6.1,82.6,18764,758098,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2021-S2,23.4,4.1,59.0,7790,379694,MUESTRA SINTÉTICA (no es dato real)
Ica,2021-S2,21.5,3.6,54.8,88649,6636708,MUESTRA SINTÉTICA (no es dato real)
Junín,2021-S2,31.3,5.9,82.8,164105,4760823,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2021-S2,30.6,5.7,77.8,162849,7255654,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2021-S2,21.4,3.1,52.1,152954,8111095,MUESTRA SINTÉTICA (no es dato real)
Lima,2021-S2,30.9,5.5,75.1,78914,2732111,MUESTRA SINTÉTICA (no es dato real)
Loreto,2021-S2,22.7,4.1,65.3,249616,9811605,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2021-S2,31.4,5.5,90.5,76011,2186687,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2021-S2,29.4,5.3,73.6,109591,5290790,MUESTRA SINTÉTICA (no es dato real)
Pasco,2021-S2,26.7,4.4,74.8,147877,9239553,MUESTRA SINTÉTICA (no es dato real)
Piura,2021-S2,32.3,5.3,79.7,60131,2048539,MUESTRA SINTÉTICA (no es dato real)
Puno,2021-S2,19.6,3.5,49.0,92400,6712970,MUESTRA SINTÉTICA (no es dato real)
San Martín,2021-S2,18.7,4.1,53.3,48989,2614285,MUESTRA SINTÉTICA (no es dato real)
Tacna,2021-S2,25.6,4.0,66.6,147150,5150585,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2021-S2,16.9,2.1,41.8,87273,9909177,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2021-S2,16.4,2.4,40.0,18993,1781699,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2022-S1,24.5,3.4,66.0,46826,3319551,MUESTRA SINTÉTICA (no es dato real)
Áncash,2022-S1,29.7,5.4,79.6,40438,1549872,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2022-S1,29.2,5.3,82.8,100844,4022444,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2022-S1,32.7,5.9,91.1,163919,7366331,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2022-S1,23.3,2.7,61.0,104090,4266103,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2022-S1,29.7,4.8,82.0,173667,5260132,MUESTRA SINTÉTICA (no es dato real)
Callao,2022-S1,32.4,4.5,82.5,215510,9209842,MUESTRA SINTÉTICA (no es dato real)
Cusco,2022-S1,29.7,4.4,85.1,146672,9490001,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2022-S1,28.0,3.6,68.3,75949,5070902,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2022-S1,23.5,4.2,60.7,68925,3186061,MUESTRA SINTÉTICA (no es dato real)
Ica,2022-S1,22.5,4.4,57.6,65452,5782961,MUESTRA SINTÉTICA (no es dato real)
Junín,2022-S1,28.6,5.8,70.3,238626,8724312,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2022-S1,31.7,5.4,80.6,158448,8969187,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2022-S1,21.3,3.6,55.9,30127,1645140,MUESTRA SINTÉTICA (no es dato real)
Lima,2022-S1,29.7,4.5,82.2,138051,8597025,MUESTRA SINTÉTICA (no es dato real)
Loreto,2022-S1,28.3,6.3,74.3,124319,7741751,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2022-S1,34.2,5.9,95.0,161239,8718549,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2022-S1,28.8,5.3,72.9,88994,3382872,MUESTRA SINTÉTICA (no es dato real)
Pasco,2022-S1,26.7,3.9,64.3,42186,2095697,MUESTRA SINTÉTICA (no es dato real)
Piura,2022-S1,33.7,5.9,89.4,246894,7649821,MUESTRA SINTÉTICA (no es dato real)
Puno,2022-S1,20.8,2.9,54.8,168882,8825630,MUESTRA SINTÉTICA (no es dato real)
San Martín,2022-S1,18.7,2.8,48.4,100581,5907764,MUESTRA SINTÉTICA (no es dato real)
Tacna,2022-S1,25.6,2.8,66.6,178098,6212436,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2022-S1,18.2,3.3,51.0,105647,4955999,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2022-S1,17.4,2.9,44.3,136905,8504483,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2022-S2,27.1,4.8,75.8,26979,846058,MUESTRA SINTÉTICA (no es dato real)
Áncash,2022-S2,31.5,4.5,77.7,234034,8879609,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2022-S2,28.2,4.6,76.7,274113,9170574,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2022-S2,33.7,4.9,89.1,186998,9896931,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2022-S2,21.6,3.1,56.1,53102,2764834,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2022-S2,30.1,4.8,73.6,37473,2225737,MUESTRA SINTÉTICA (no es dato real)
Callao,2022-S2,27.4,4.3,78.2,283908,8957587,MUESTRA SINTÉTICA (no es dato real)
Cusco,2022-S2,31.0,5.2,80.3,308558,9633117,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2022-S2,28.5,4.4,81.5,276454,9683655,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2022-S2,23.7,4.5,61.2,28033,1170629,MUESTRA SINTÉTICA (no es dato real)
Ica,2022-S2,21.4,3.5,62.1,105483,5685898,MUESTRA SINTÉTICA (no es dato real)
Junín,2022-S2,30.4,4.8,88.1,209436,9137402,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2022-S2,30.7,5.1,87.8,31431,2020937,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2022-S2,23.7,3.5,64.9,92841,7384783,MUESTRA SINTÉTICA (no es dato real)
Lima,2022-S2,32.1,6.8,85.3,228926,7416119,MUESTRA SINTÉTICA (no es dato real)
Loreto,2022-S2,23.9,3.3,60.1,125898,8995447,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2022-S2,34.2,6.8,95.0,50575,1881321,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2022-S2,30.1,5.5,86.5,166106,7416360,MUESTRA SINTÉTICA (no es dato real)
Pasco,2022-S2,28.7,5.3,82.9,10978,366757,MUESTRA SINTÉTICA (no es dato real)
Piura,2022-S2,32.3,6.1,86.1,239946,6221377,MUESTRA SINTÉTICA (no es dato real)
Puno,2022-S2,20.8,3.6,57.4,78424,4773966,MUESTRA SINTÉTICA (no es dato real)
San Martín,2022-S2,16.9,2.5,42.9,26207,2572583,MUESTRA SINTÉTICA (no es dato real)
Tacna,2022-S2,28.3,4.4,79.8,178518,8509362,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2022-S2,16.2,2.8,41.9,74174,5636214,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2022-S2,16.7,2.4,41.4,156310,9660776,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2023-S1,27.5,4.5,77.9,92974,3397139,MUESTRA SINTÉTICA (no es dato real)
Áncash,2023-S1,31.5,5.1,86.3,37105,2171018,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2023-S1,30.0,4.6,82.1,96659,3350029,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2023-S1,37.1,6.6,95.0,188418,6248602,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2023-S1,20.0,2.7,52.7,113467,7504723,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2023-S1,33.1,6.0,89.7,342697,9233415,MUESTRA SINTÉTICA (no es dato real)
Callao,2023-S1,30.6,5.2,77.5,164813,7032544,MUESTRA SINTÉTICA (no es dato real)
Cusco,2023-S1,33.7,4.2,89.8,223356,7005935,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2023-S1,31.2,5.1,85.3,103351,3584795,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2023-S1,23.7,4.3,57.1,78828,5088106,MUESTRA SINTÉTICA (no es dato real)
Ica,2023-S1,21.9,4.5,59.8,146905,8956512,MUESTRA SINTÉTICA (no es dato real)
Junín,2023-S1,33.6,7.1,82.7,175681,8937888,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2023-S1,33.7,7.9,82.9,77589,3323726,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2023-S1,22.9,4.6,59.0,108717,7949050,MUESTRA SINTÉTICA (no es dato real)
Lima,2023-S1,32.7,5.8,83.2,275992,8252761,MUESTRA SINTÉTICA (no es dato real)
